Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
1681768169,511,cuGetProcAddress_v2,0,234,15766,15766,20,darknet
1681768851,440,cuGetProcAddress_v2,0,235,15766,15766,20,darknet
1681769352,410,cuGetProcAddress_v2,0,236,15766,15766,20,darknet
1681769822,431,cuGetProcAddress_v2,0,237,15766,15766,20,darknet
1681770423,191,cuGetProcAddress_v2,0,238,15766,15766,20,darknet
1681770674,371,cuGetProcAddress_v2,0,239,15766,15766,20,darknet
1681771105,300,cuGetProcAddress_v2,0,240,15766,15766,20,darknet
1681771576,70,cuGetProcAddress_v2,0,241,15766,15766,20,darknet
1681771706,290,cuGetProcAddress_v2,0,242,15766,15766,20,darknet
1681772187,180,cuGetProcAddress_v2,0,243,15766,15766,20,darknet
1681772427,701,cuGetProcAddress_v2,0,244,15766,15766,20,darknet
1681773189,280,cuGetProcAddress_v2,0,245,15766,15766,20,darknet
1681773639,351,cuGetProcAddress_v2,0,246,15766,15766,20,darknet
1681774050,170,cuGetProcAddress_v2,0,247,15766,15766,20,darknet
1681774281,200,cuGetProcAddress_v2,0,248,15766,15766,20,darknet
1681774541,80,cuGetProcAddress_v2,0,249,15766,15766,20,darknet
1681774681,291,cuGetProcAddress_v2,0,250,15766,15766,20,darknet
1681775032,160,cuGetProcAddress_v2,0,251,15766,15766,20,darknet
1681775252,191,cuGetProcAddress_v2,0,252,15766,15766,20,darknet
1681775503,300,cuGetProcAddress_v2,0,253,15766,15766,20,darknet
1681775863,191,cuGetProcAddress_v2,0,254,15766,15766,20,darknet
1681776114,301,cuGetProcAddress_v2,0,255,15766,15766,20,darknet
1681776475,190,cuGetProcAddress_v2,0,256,15766,15766,20,darknet
1681776725,401,cuGetProcAddress_v2,0,257,15766,15766,20,darknet
1681777186,190,cuGetProcAddress_v2,0,258,15766,15766,20,darknet
1681777436,411,cuGetProcAddress_v2,0,259,15766,15766,20,darknet
1681777907,401,cuGetProcAddress_v2,0,260,15766,15766,20,darknet
1681778368,200,cuGetProcAddress_v2,0,261,15766,15766,20,darknet
1681778729,300,cuGetProcAddress_v2,0,262,15766,15766,20,darknet
1681779200,521,cuGetProcAddress_v2,0,263,15766,15766,20,darknet
1681779841,190,cuGetProcAddress_v2,0,264,15766,15766,20,darknet
1681780091,161,cuGetProcAddress_v2,0,265,15766,15766,20,darknet
1681780372,551,cuGetProcAddress_v2,0,266,15766,15766,20,darknet
1681781043,180,cuGetProcAddress_v2,0,267,15766,15766,20,darknet
1681781354,290,cuGetProcAddress_v2,0,268,15766,15766,20,darknet
1681781794,301,cuGetProcAddress_v2,0,269,15766,15766,20,darknet
1681782225,60,cuGetProcAddress_v2,0,270,15766,15766,20,darknet
1681782416,380,cuGetProcAddress_v2,0,271,15766,15766,20,darknet
1681782856,181,cuGetProcAddress_v2,0,272,15766,15766,20,darknet
1681783167,170,cuGetProcAddress_v2,0,273,15766,15766,20,darknet
1681783457,171,cuGetProcAddress_v2,0,274,15766,15766,20,darknet
1681783748,70,cuGetProcAddress_v2,0,275,15766,15766,20,darknet
1681783948,181,cuGetProcAddress_v2,0,276,15766,15766,20,darknet
1681784189,290,cuGetProcAddress_v2,0,277,15766,15766,20,darknet
1681784830,80,cuGetProcAddress_v2,0,278,15766,15766,20,darknet
1681784970,60,cuGetProcAddress_v2,0,279,15766,15766,20,darknet
1681785161,60,cuGetProcAddress_v2,0,280,15766,15766,20,darknet
1681785351,290,cuGetProcAddress_v2,0,281,15766,15766,20,darknet
1681785792,180,cuGetProcAddress_v2,0,282,15766,15766,20,darknet
1681786092,191,cuGetProcAddress_v2,0,283,15766,15766,20,darknet
1681786413,180,cuGetProcAddress_v2,0,284,15766,15766,20,darknet
1681786653,261,cuGetProcAddress_v2,0,285,15766,15766,20,darknet
1681787044,60,cuGetProcAddress_v2,0,286,15766,15766,20,darknet
1681787164,191,cuGetProcAddress_v2,0,287,15766,15766,20,darknet
1681787475,180,cuGetProcAddress_v2,0,288,15766,15766,20,darknet
1681787785,71,cuGetProcAddress_v2,0,289,15766,15766,20,darknet
1681788006,210,cuGetProcAddress_v2,0,290,15766,15766,20,darknet
1681788387,490,cuGetProcAddress_v2,0,291,15766,15766,20,darknet
1681789008,180,cuGetProcAddress_v2,0,292,15766,15766,20,darknet
1681789248,190,cuGetProcAddress_v2,0,293,15766,15766,20,darknet
1681789609,70,cuGetProcAddress_v2,0,294,15766,15766,20,darknet
1681789809,311,cuGetProcAddress_v2,0,295,15766,15766,20,darknet
1681790240,180,cuGetProcAddress_v2,0,296,15766,15766,20,darknet
1681790591,290,cuGetProcAddress_v2,0,297,15766,15766,20,darknet
1681790941,181,cuGetProcAddress_v2,0,298,15766,15766,20,darknet
1681791292,170,cuGetProcAddress_v2,0,299,15766,15766,20,darknet
1681791582,171,cuGetProcAddress_v2,0,300,15766,15766,20,darknet
1681791883,290,cuGetProcAddress_v2,0,301,15766,15766,20,darknet
1681792354,70,cuGetProcAddress_v2,0,302,15766,15766,20,darknet
1681792484,331,cuGetProcAddress_v2,0,303,15766,15766,20,darknet
1681792945,310,cuGetProcAddress_v2,0,304,15766,15766,20,darknet
1681793486,321,cuGetProcAddress_v2,0,305,15766,15766,20,darknet
1681793867,390,cuGetProcAddress_v2,0,306,15766,15766,20,darknet
1681794498,180,cuGetProcAddress_v2,0,307,15766,15766,20,darknet
1681794738,311,cuGetProcAddress_v2,0,308,15766,15766,20,darknet
1681795179,180,cuGetProcAddress_v2,0,309,15766,15766,20,darknet
1681795530,90,cuGetProcAddress_v2,0,310,15766,15766,20,darknet
1681795750,301,cuGetProcAddress_v2,0,311,15766,15766,20,darknet
1681796111,571,cuGetProcAddress_v2,0,312,15766,15766,20,darknet
1681796862,291,cuGetProcAddress_v2,0,313,15766,15766,20,darknet
1681797213,200,cuGetProcAddress_v2,0,314,15766,15766,20,darknet
1681797583,141,cuGetProcAddress_v2,0,315,15766,15766,20,darknet
1681797784,200,cuGetProcAddress_v2,0,316,15766,15766,20,darknet
1681798044,311,cuGetProcAddress_v2,0,317,15766,15766,20,darknet
1681798525,211,cuGetProcAddress_v2,0,318,15766,15766,20,darknet
1681798796,210,cuGetProcAddress_v2,0,319,15766,15766,20,darknet
1681799066,211,cuGetProcAddress_v2,0,320,15766,15766,20,darknet
1681799437,330,cuGetProcAddress_v2,0,321,15766,15766,20,darknet
1681799828,190,cuGetProcAddress_v2,0,322,15766,15766,20,darknet
1681800188,321,cuGetProcAddress_v2,0,323,15766,15766,20,darknet
1681800569,280,cuGetProcAddress_v2,0,324,15766,15766,20,darknet
1681800910,290,cuGetProcAddress_v2,0,325,15766,15766,20,darknet
1681801400,181,cuGetProcAddress_v2,0,326,15766,15766,20,darknet
1681801641,220,cuGetProcAddress_v2,0,327,15766,15766,20,darknet
1681801921,311,cuGetProcAddress_v2,0,328,15766,15766,20,darknet
1681802402,181,cuGetProcAddress_v2,0,329,15766,15766,20,darknet
1681802643,400,cuGetProcAddress_v2,0,330,15766,15766,20,darknet
1681803254,210,cuGetProcAddress_v2,0,331,15766,15766,20,darknet
1681803524,461,cuGetProcAddress_v2,0,332,15766,15766,20,darknet
1681804045,521,cuGetProcAddress_v2,0,333,15766,15766,20,darknet
1681804737,410,cuGetProcAddress_v2,0,334,15766,15766,20,darknet
1681805207,381,cuGetProcAddress_v2,0,335,15766,15766,20,darknet
1681805648,201,cuGetProcAddress_v2,0,336,15766,15766,20,darknet
1681806019,361,cuGetProcAddress_v2,0,337,15766,15766,20,darknet
1681806450,90,cuGetProcAddress_v2,0,338,15766,15766,20,darknet
1681806800,171,cuGetProcAddress_v2,0,339,15766,15766,20,darknet
1681807101,210,cuGetProcAddress_v2,0,340,15766,15766,20,darknet
1681807371,191,cuGetProcAddress_v2,0,341,15766,15766,20,darknet
1681807732,80,cuGetProcAddress_v2,0,342,15766,15766,20,darknet
1681807942,381,cuGetProcAddress_v2,0,343,15766,15766,20,darknet
1681808453,61,cuGetProcAddress_v2,0,344,15766,15766,20,darknet
1681808684,340,cuGetProcAddress_v2,0,345,15766,15766,20,darknet
1681809155,390,cuGetProcAddress_v2,0,346,15766,15766,20,darknet
1681809726,70,cuGetProcAddress_v2,0,347,15766,15766,20,darknet
1681809856,291,cuGetProcAddress_v2,0,348,15766,15766,20,darknet
1681810277,170,cuGetProcAddress_v2,0,349,15766,15766,20,darknet
1681810617,171,cuGetProcAddress_v2,0,350,15766,15766,20,darknet
1681810908,290,cuGetProcAddress_v2,0,351,15766,15766,20,darknet
1681811259,190,cuGetProcAddress_v2,0,352,15766,15766,20,darknet
1681811609,311,cuGetProcAddress_v2,0,353,15766,15766,20,darknet
1681812070,261,cuGetProcAddress_v2,0,354,15766,15766,20,darknet
1681812521,80,cuGetProcAddress_v2,0,355,15766,15766,20,darknet
1681812731,201,cuGetProcAddress_v2,0,356,15766,15766,20,darknet
